loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.8734,26.436195373535156,1.5023286759813706e-05,1.0,1503,,,,,,,,,,,,,
,,,1.0,1503,0.8051878213882446,0.843937125748503,0.6273243919072516,0.6641046750205017,0.6434380124266633,4.341,615.524,38.47,,,,,
0.6471,46.422218322753906,1.0026613439787094e-05,2.0,3006,,,,,,,,,,,,,
,,,2.0,3006,0.7482684254646301,0.8293413173652695,0.6203512103672814,0.7126090896617302,0.6554874113831807,4.048,660.074,41.255,,,,,
0.5124,69.11717224121094,5.026613439787092e-06,3.0,4509,,,,,,,,,,,,,
,,,3.0,4509,0.880020797252655,0.8544161676646707,0.6574622563372047,0.699263694641484,0.674639333488522,4.2153,633.887,39.618,,,,,
0.4162,35.53144454956055,2.994011976047905e-08,4.0,6012,,,,,,,,,,,,,
,,,4.0,6012,1.019311785697937,0.8525449101796407,0.6508632528475382,0.6994545118048178,0.6723703539892902,4.2034,635.675,39.73,,,,,
,,,4.0,6012,,,,,,,,,923.609,104.139,6.509,2217222854229852.0,0.6122846470145646
