epoch,train_loss,train_accuracy,train_f1_macro,dev_loss,dev_accuracy,dev_f1_macro,lr
1,0.8681187505612187,0.6181485486151543,0.6167424712435295,0.7507640258994644,0.7058383233532934,0.5381097602015606,0.0008
2,0.6400696372198581,0.7694419030192132,0.7694865736710016,0.6959994945697442,0.7578592814371258,0.5725192920796724,0.0008
3,0.5197553405852541,0.8368959494302587,0.8367691488171717,0.6643087367811603,0.781437125748503,0.5924389905977266,0.0008
4,0.44648460001137613,0.8714131248440489,0.8709105640716546,0.6748219614257356,0.7870508982035929,0.5947444515454118,0.0008
5,0.41191096847410125,0.890252016967479,0.8899162542782566,0.6717535135988704,0.8031437125748503,0.6086890769702743,0.0008
6,0.37359069613859913,0.9092572569242285,0.9090249931643873,0.7081997069769991,0.7799401197604791,0.5934531393051877,0.0008
7,0.34907607531811286,0.9214838226732097,0.9213428773713623,0.631720166006488,0.811377245508982,0.6180130005562529,0.0008
8,0.3353499517478077,0.9290942360475755,0.9289372984386226,0.649748532358044,0.8076347305389222,0.615665381309847,0.0008
9,0.3240555337033989,0.9334192797138817,0.9333912587067831,0.6565905820109887,0.8211077844311377,0.6193102665366311,0.0008
10,0.3066638400126721,0.9412376278798968,0.9411532274538311,0.6528094068258822,0.812874251497006,0.6221875213716708,0.0008
11,0.29345809104319054,0.9467686933377693,0.9466735863118271,0.6599869917252821,0.8252245508982036,0.6237076889284895,0.0008
12,0.28797864571373605,0.9502204108791483,0.9501425264661028,0.6587803738559791,0.8139970059880239,0.6184202588165935,0.0008
