model_tag,epoch,train_loss,val_macro_f1,val_accuracy,elapsed_sec
bilstm_original_recheck,1,0.9555918107629269,0.4981671686513456,0.6751497005988024,12.930335521697998
bilstm_original_recheck,2,0.7680862549734842,0.5615664117668125,0.7428892215568862,9.998237371444702
bilstm_original_recheck,3,0.6139792367700708,0.5585497135652052,0.7316616766467066,4.870235919952393
bilstm_original_recheck,4,0.4560633408223136,0.5634550499035973,0.7574850299401198,4.760836601257324
bilstm_original_recheck,5,0.3126071045147463,0.5733444768362854,0.7717065868263473,6.508094072341919
bilstm_original_recheck,6,0.21533395870646274,0.5820534823344834,0.7784431137724551,4.619808197021484
bilstm_original_recheck,7,0.15588581495239226,0.5806034565902015,0.7833083832335329,5.634119510650635
bilstm_original_recheck,8,0.12125434806107345,0.6203647452340352,0.8248502994011976,5.524920225143433
bilstm_original_recheck,9,0.10023384669859615,0.6020469912284195,0.8046407185628742,4.587536334991455
bilstm_original_recheck,10,0.07514259178517692,0.6125929195589079,0.8274700598802395,6.368182420730591
bilstm_original_recheck,11,0.06584756724287921,0.6135774809157453,0.8297155688622755,4.694127559661865
bilstm_original_recheck,12,0.054976770848439854,0.6108321782424411,0.8192365269461078,4.799632549285889
