accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,clean_precision,clean_recall,clean_f1,clean_support,offensive_precision,offensive_recall,offensive_f1,offensive_support,hate_precision,hate_recall,hate_f1,hate_support,model,train_setting,noise_type,norm_stage
0.8589820359281437,0.6473977718423507,0.680051038488397,0.6606794711920293,0.8708172929758985,0.8589820359281437,0.8641761044028845,0.9413831360946746,0.9176279740447008,0.9293537787513692,5548,0.3864406779661017,0.5135135135135135,0.4410058027079304,444,0.6143695014662757,0.6090116279069767,0.6116788321167883,688,PhoBERT,phobert_augmented_mixed,clean,before_norm
0.8520958083832335,0.6356210676661562,0.6793092219497713,0.6523440686395068,0.8695685694647193,0.8520958083832335,0.8595676451483649,0.943509165731388,0.9091564527757751,0.9260143198090692,5548,0.36335403726708076,0.527027027027027,0.43014705882352944,444,0.6,0.6017441860465116,0.6008708272859217,688,PhoBERT,phobert_augmented_mixed,clean,after_norm
0.807185628742515,0.5579345897546342,0.6201187858101727,0.5825379920723566,0.8387467657395551,0.807185628742515,0.8204880323171965,0.9307141474743565,0.8667988464311464,0.8976201586560896,5548,0.29516129032258065,0.41216216216216217,0.34398496240601506,444,0.4479283314669653,0.5813953488372093,0.5060088551549652,688,PhoBERT,phobert_augmented_mixed,no_accent,before_norm
0.800748502994012,0.5503196217854638,0.6179676515938484,0.5754923029002378,0.8393888171167274,0.800748502994012,0.8169048697662867,0.9338292873923257,0.8597692862292718,0.8952702702702703,5548,0.27521613832853026,0.43018018018018017,0.335676625659051,444,0.4419134396355353,0.563953488372093,0.4955300127713921,688,PhoBERT,phobert_augmented_mixed,no_accent,after_norm
0.8098802395209581,0.565513259422956,0.640889444339462,0.5940485518856976,0.8471138198589253,0.8098802395209581,0.8247300434790377,0.9402633130280998,0.8624729632299928,0.8996897621509824,5548,0.32040472175379425,0.42792792792792794,0.36644165863066536,444,0.43587174348697394,0.6322674418604651,0.5160142348754448,688,PhoBERT,phobert_augmented_mixed,repeated_char,before_norm
0.8513473053892215,0.6342049721105328,0.6760879774494569,0.650283231117858,0.8683010085894836,0.8513473053892215,0.8586280870699295,0.9422753596114328,0.9091564527757751,0.925419686267315,5548,0.3615023474178404,0.5202702702702703,0.4265927977839335,444,0.5988372093023255,0.5988372093023255,0.5988372093023255,688,PhoBERT,phobert_augmented_mixed,repeated_char,after_norm
0.8416167664670658,0.6123770716044405,0.6455788231517176,0.6259873775422371,0.8556514926547819,0.8416167664670658,0.8478805508284195,0.9333333333333333,0.9059120403749099,0.9194182749474069,5548,0.34505862646566166,0.46396396396396394,0.3957732949087416,444,0.5587392550143266,0.5668604651162791,0.5627705627705628,688,PhoBERT,phobert_augmented_mixed,special_char,before_norm
0.8516467065868264,0.6347080960695686,0.67886272218967,0.6516803549423028,0.8693201197933562,0.8516467065868264,0.8592144802057924,0.9434774471270821,0.9086157173756308,0.9257184831512257,5548,0.36180124223602483,0.5247747747747747,0.42830882352941174,444,0.5988455988455988,0.6031976744186046,0.6010137581462708,688,PhoBERT,phobert_augmented_mixed,special_char,after_norm
0.8414670658682635,0.6163835875251028,0.6467919846793021,0.6278645832490776,0.8564387914102313,0.8414670658682635,0.8480573508525374,0.9320712694877505,0.9051910598413843,0.9184345281638625,5548,0.33225806451612905,0.46396396396396394,0.38721804511278196,444,0.5848214285714286,0.5712209302325582,0.5779411764705882,688,PhoBERT,phobert_augmented_mixed,masked_word,before_norm
0.8248502994011976,0.5997627437845209,0.6466131556767613,0.6138949851219451,0.8533413510160338,0.8248502994011976,0.8367403223592882,0.9330671230271915,0.8844628695025234,0.9081151105764782,5548,0.2962962962962963,0.5045045045045045,0.37333333333333335,444,0.5699248120300752,0.5508720930232558,0.5602365114560236,688,PhoBERT,phobert_augmented_mixed,masked_word,after_norm
0.8568862275449102,0.6442092063286354,0.6762890585879385,0.6570380872552192,0.8692002018416359,0.8568862275449102,0.8622825732527303,0.9400665926748057,0.9160057678442682,0.9278802264013146,5548,0.3775167785234899,0.5067567567567568,0.4326923076923077,444,0.6150442477876106,0.6061046511627907,0.6105417276720352,688,PhoBERT,phobert_augmented_mixed,slang_teencode,before_norm
0.8517964071856288,0.6343117301548374,0.6771170514086462,0.6508452392845592,0.8689826648414964,0.8517964071856288,0.8591824135872763,0.9431669470929146,0.9093366979091565,0.925942920069744,5548,0.3615023474178404,0.5202702702702703,0.4265927977839335,444,0.5982658959537572,0.6017441860465116,0.6,688,PhoBERT,phobert_augmented_mixed,slang_teencode,after_norm
0.7514970059880239,0.5118713744391777,0.6141123266422976,0.5402719664861954,0.8318965699150633,0.7514970059880239,0.7810955115110303,0.9383795309168443,0.7932588320115357,0.8597382301230709,5548,0.2457293035479632,0.42117117117117114,0.3103734439834025,444,0.3515052888527258,0.627906976744186,0.4507042253521127,688,PhoBERT,phobert_augmented_mixed,mixed_noise,before_norm
0.7836826347305389,0.5366207234127544,0.608629879942819,0.560414828727385,0.8331423745584361,0.7836826347305389,0.804070738631136,0.9294680215182307,0.8408435472242249,0.8829374467682407,5548,0.24347826086956523,0.44144144144144143,0.31385108086469177,444,0.4369158878504673,0.5436046511627907,0.4844559585492228,688,PhoBERT,phobert_augmented_mixed,mixed_noise,after_norm
