model,train_setting,noise_type,norm_stage,macro_f1,accuracy,source_file,macro_precision,macro_recall,weighted_precision,weighted_recall,weighted_f1,clean_precision,clean_recall,clean_f1,clean_support,offensive_precision,offensive_recall,offensive_f1,offensive_support,hate_precision,hate_recall,hate_f1,hate_support,train_setting_clean
XLM-R,before_norm,slang_teencode,before_norm,0.4632742865366297,0.6163173652694611,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,before_norm
XLM-R,after_norm,special_char,before_norm,0.4643712610779271,0.6175149700598802,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,after_norm
XLM-R,before_norm,special_char,before_norm,0.3833943515676052,0.4471556886227545,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/augmentation_vs_original_comparison.csv,,,,,,,,,,,,,,,,,,before_norm
SVM,original_artifact,clean,before_norm,0.642683046845136,0.8631736526946108,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
SVM,original_artifact,clean,before_norm,0.6462263797980903,0.8646706586826347,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
SVM,original_artifact,no_accent,before_norm,0.5287556165630255,0.7973053892215569,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
SVM,original_artifact,no_accent,before_norm,0.5308501762293154,0.7994011976047904,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
SVM,original_artifact,repeated_char,before_norm,0.3753332248736563,0.823502994011976,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
SVM,original_artifact,repeated_char,before_norm,0.6395974986614044,0.8627245508982035,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
SVM,original_artifact,special_char,before_norm,0.580484163425171,0.8486526946107784,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
SVM,original_artifact,special_char,before_norm,0.6458492603722416,0.86437125748503,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
SVM,original_artifact,masked_word,before_norm,0.5861431597982425,0.850748502994012,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
SVM,original_artifact,masked_word,before_norm,0.5805319839658453,0.8462574850299401,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
SVM,original_artifact,slang_teencode,before_norm,0.6368305885366535,0.8601796407185629,/content/drive/MyDrive/Deep/vietnamese-toxic-comment-classification/outputs/results/note08/robustness_all_metrics.csv,,,,,,,,,,,,,,,,,,original_artifact
