model,train_setting,clean_macro_f1,no_accent_macro_f1,repeated_char_macro_f1,mixed_noise_macro_f1_before_norm,mixed_noise_macro_f1_after_norm,normalization_gain_on_mixed
SVM,original,0.6462263797980903,0.5308501762293154,0.6395974986614044,0.5150905983783695,,
SVM,augmented_mixed,0.6164744607520661,0.61441026482138,0.6351744624506069,0.5902786387804179,,
BiLSTM,original_recheck,0.5963516579306779,0.48530887095464287,0.3443144774751367,0.1833473444380126,0.4739059925194642,0.2905586480814516
BiLSTM,augmented_mixed,0.6010207018034271,0.5867084643441566,0.5956967338136568,0.5738634563204469,0.5579752254887892,-0.01588823083165769
PhoBERT,original_baseline,,,,,,
PhoBERT,augmented_mixed,0.6606794711920293,0.5825379920723566,0.5940485518856976,0.5402719664861954,0.560414828727385,0.020142862241189663
XLM-R,original,0.4810628827399822,0.2695052951864873,0.4625340183224602,0.2350017748742972,,
XLM-R,augmented_mixed,0.4965927723599574,0.3537775591219305,0.4812053817767291,0.3084769826856782,,
