model_tag,epoch,train_loss,val_macro_f1,val_accuracy,elapsed_sec
bilstm_augmented_mixed,1,0.8535858670553979,0.5492308212594466,0.7252994011976048,29.37738275527954
bilstm_augmented_mixed,2,0.5468605894894326,0.6195573476845623,0.8072604790419161,31.453247547149658
bilstm_augmented_mixed,3,0.3320223068345091,0.6237993132110778,0.8147455089820359,29.432032346725464
bilstm_augmented_mixed,4,0.2071882745138718,0.6266901436218318,0.8263473053892215,29.344123125076294
bilstm_augmented_mixed,5,0.1460629511984183,0.6302150003107548,0.8274700598802395,31.978664875030518
bilstm_augmented_mixed,6,0.10794272688987434,0.6336499758405879,0.8285928143712575,29.333020448684692
bilstm_augmented_mixed,7,0.08934507290312742,0.6298534527200284,0.8375748502994012,29.744245290756226
bilstm_augmented_mixed,8,0.07792095434741751,0.6343872766343612,0.8386976047904192,32.30780291557312
bilstm_augmented_mixed,9,0.06804877156780784,0.6334685859169572,0.8360778443113772,29.242570400238037
bilstm_augmented_mixed,10,0.06203804457532846,0.616044093583371,0.8218562874251497,28.820112466812134
bilstm_augmented_mixed,11,0.056068209259816995,0.629131815843513,0.8375748502994012,28.769180297851562
bilstm_augmented_mixed,12,0.05122247419044553,0.6350984902038367,0.8342065868263473,28.767682790756226
bilstm_augmented_mixed,13,0.049340005631008696,0.6336574377887051,0.8424401197604791,29.216051816940308
bilstm_augmented_mixed,14,0.04709042863704309,0.6266360748254997,0.8424401197604791,28.831846237182617
bilstm_augmented_mixed,15,0.04253389942204739,0.6293827987849356,0.8473053892215568,28.748451471328735
bilstm_augmented_mixed,16,0.041025879808467454,0.6381193391840031,0.843188622754491,29.069997549057007
bilstm_augmented_mixed,17,0.03742711817732035,0.6226676877856573,0.8372005988023952,30.70947790145874
bilstm_augmented_mixed,18,0.038491202208296736,0.6273980795185853,0.8349550898203593,29.783076286315918
bilstm_augmented_mixed,19,0.03837819935549916,0.6300196025852234,0.8319610778443114,29.722809314727783
bilstm_augmented_mixed,20,0.037029090371884454,0.6289662061699925,0.8360778443113772,29.227866888046265
