model_name,train_setting,noise_type,eval_text_variant,n_samples,n_train,accuracy,macro_precision,macro_recall,macro_f1,f1_clean,f1_offensive,f1_hate,support_clean,support_offensive,support_hate
svm_note08,augmented_mixed,special_char,before_norm,6680,168322.0,0.8473053892215568,0.6082032025739301,0.5598704653161738,0.580349059828158,0.9220710372857396,0.3130659767141009,0.5059101654846335,5548,444,688
svm_note08,augmented_mixed,masked_word,before_norm,6680,168322.0,0.8471556886227545,0.6069607790036661,0.5592778743516073,0.5794055928573081,0.9220572640509014,0.3094928478543563,0.5066666666666667,5548,444,688
svm_note08,augmented_mixed,slang_teencode,before_norm,6680,168322.0,0.8525449101796407,0.6242173319991554,0.602965158322421,0.6127039140072376,0.9262273093087723,0.3819951338199513,0.529889298892989,5548,444,688
svm_note08,augmented_mixed,mixed_noise,before_norm,6680,168322.0,0.8414670658682635,0.596171570675585,0.5850300154281476,0.5902786387804179,0.9199031303255898,0.33886255924170616,0.5120702267739575,5548,444,688
xlmr_note08,original,clean,before_norm,6680,7998.0,0.6476047904191616,0.4734806282755198,0.6061343773226119,0.48106288273998227,0.7769492969748615,0.24330357142857142,0.42293577981651376,5548,444,688
xlmr_note08,original,no_accent,before_norm,6680,7998.0,0.31392215568862275,0.40134772311420214,0.47247280814793097,0.2695052951864873,0.3945714285714286,0.1553398058252427,0.2586046511627907,5548,444,688
xlmr_note08,original,repeated_char,before_norm,6680,7998.0,0.3962574850299401,0.4338230617308601,0.515132500376502,0.3430526500055288,0.520199370409234,0.15736040609137056,0.3515981735159817,5548,444,688
xlmr_note08,original,special_char,before_norm,6680,7998.0,0.4471556886227545,0.45210536600239726,0.5676735476527147,0.3833943515676052,0.5717903266649784,0.18004866180048662,0.3983440662373505,5548,444,688
xlmr_note08,original,masked_word,before_norm,6680,7998.0,0.48098802395209583,0.45662446599974976,0.5744613837609847,0.4020298696499431,0.6125199068969741,0.18871533312081606,0.40485436893203886,5548,444,688
xlmr_note08,original,slang_teencode,before_norm,6680,7998.0,0.6163173652694611,0.4660195445998454,0.5963980057504227,0.4632742865366297,0.7505186155693853,0.22598307615729218,0.41332116788321166,5548,444,688
xlmr_note08,original,mixed_noise,before_norm,6680,7998.0,0.24610778443113773,0.42233054549905313,0.3793862229627894,0.18272973918647684,0.35849606528708833,0.1374738311235171,0.05221932114882506,5548,444,688
xlmr_note08,augmented_mixed,clean,before_norm,6680,15996.0,0.6699101796407185,0.4824268287442722,0.6202136602825726,0.49659277235995747,0.793604039553966,0.24797507788161993,0.44819919964428634,5548,444,688
xlmr_note08,augmented_mixed,no_accent,before_norm,6680,15996.0,0.44640718562874254,0.4172015130768816,0.5263016564878958,0.35377755912193054,0.571607882515376,0.18643190056965303,0.30329289428076256,5548,444,688
xlmr_note08,augmented_mixed,repeated_char,before_norm,6680,15996.0,0.517065868263473,0.4407152725533546,0.572367294441874,0.40580776462147367,0.6487063849988132,0.19696969696969696,0.37174721189591076,5548,444,688
xlmr_note08,augmented_mixed,special_char,before_norm,6680,15996.0,0.5068862275449102,0.46501295585362845,0.5958322646265923,0.4214742371610339,0.6364949446316803,0.19655521783181357,0.43137254901960786,5548,444,688
xlmr_note08,augmented_mixed,masked_word,before_norm,6680,15996.0,0.546556886227545,0.45681342341203063,0.5948877116498803,0.4317135774674789,0.6781315361375785,0.20336134453781513,0.413647851727043,5548,444,688
xlmr_note08,augmented_mixed,slang_teencode,before_norm,6680,15996.0,0.6540419161676647,0.4787122400435746,0.6169820245288463,0.4883009936776261,0.7802747896474598,0.23760092272202998,0.4470272686633885,5548,444,688
xlmr_note08,augmented_mixed,mixed_noise,before_norm,6680,15996.0,0.34970059880239523,0.4152892699714188,0.5058263052962588,0.3084769826856782,0.4506308283049918,0.15857988165680473,0.3162202380952381,5548,444,688
