model_name,source,accuracy,macro_f1,macro_precision,macro_recall
svm_baseline_note02,svm_metrics.csv,0.8632,0.642683046845136,0.6521715421456385,0.6347336966583793
bilstm_baseline_note03,bilstm_metrics.csv,0.8293,0.6149810569124331,0.5895140168781338,0.6512465532634125
phobert_baseline_note04,phobert_metrics.csv,0.8588,0.6658011168987074,0.6496060552007088,0.6936461777835582
xlmr_note08_original,note08,0.6476047904191616,0.48106288273998227,0.4734806282755198,0.6061343773226119
xlmr_note08_augmented_mixed,note08,0.6699101796407185,0.49659277235995747,0.4824268287442722,0.6202136602825726
