model_name,train_setting,eval_text_variant,noise_type,clean_macro_f1,macro_f1,f1_drop
svm_note08,augmented_mixed,after_norm,clean,0.615526788816274,0.615526788816274,0.0
svm_note08,augmented_mixed,after_norm,no_accent,0.615526788816274,0.61441026482138,0.0011165239948940364
svm_note08,augmented_mixed,after_norm,repeated_char,0.615526788816274,0.6129267628153001,0.002600026000973865
svm_note08,augmented_mixed,after_norm,special_char,0.615526788816274,0.615336888711785,0.00018990010448893813
svm_note08,augmented_mixed,after_norm,masked_word,0.615526788816274,0.5736063668785448,0.04192042193772916
svm_note08,augmented_mixed,after_norm,slang_teencode,0.615526788816274,0.6151815009102477,0.00034528790602628145
svm_note08,augmented_mixed,after_norm,mixed_noise,0.615526788816274,0.5806364553057641,0.03489033351050985
svm_note08,augmented_mixed,before_norm,clean,0.6164744607520661,0.6164744607520661,0.0
svm_note08,augmented_mixed,before_norm,no_accent,0.6164744607520661,0.611899412561233,0.0045750481908330976
svm_note08,augmented_mixed,before_norm,repeated_char,0.6164744607520661,0.6351744624506069,-0.018700001698540802
svm_note08,augmented_mixed,before_norm,special_char,0.6164744607520661,0.580349059828158,0.036125400923908146
svm_note08,augmented_mixed,before_norm,masked_word,0.6164744607520661,0.5794055928573081,0.03706886789475805
svm_note08,augmented_mixed,before_norm,slang_teencode,0.6164744607520661,0.6127039140072376,0.0037705467448285734
svm_note08,augmented_mixed,before_norm,mixed_noise,0.6164744607520661,0.5902786387804179,0.02619582197164827
svm_note08,original,after_norm,clean,0.6404903607921131,0.6404903607921131,0.0
svm_note08,original,after_norm,no_accent,0.6404903607921131,0.5303122712180438,0.11017808957406927
svm_note08,original,after_norm,repeated_char,0.6404903607921131,0.6364106129629175,0.0040797478291956235
svm_note08,original,after_norm,special_char,0.6404903607921131,0.6404903607921131,0.0
svm_note08,original,after_norm,masked_word,0.6404903607921131,0.5689801550199417,0.07151020577217138
svm_note08,original,after_norm,slang_teencode,0.6404903607921131,0.6402504820126995,0.0002398787794135604
svm_note08,original,after_norm,mixed_noise,0.6404903607921131,0.510552406073331,0.1299379547187821
svm_note08,original,before_norm,clean,0.6369848714692066,0.6369848714692066,0.0
svm_note08,original,before_norm,no_accent,0.6369848714692066,0.5305209475485081,0.10646392392069848
svm_note08,original,before_norm,repeated_char,0.6369848714692066,0.36487730265022233,0.27210756881898424
svm_note08,original,before_norm,special_char,0.6369848714692066,0.5694684816111063,0.06751638985810027
svm_note08,original,before_norm,masked_word,0.6369848714692066,0.5718763723411465,0.06510849912806005
svm_note08,original,before_norm,slang_teencode,0.6369848714692066,0.6290569831168993,0.007927888352307288
svm_note08,original,before_norm,mixed_noise,0.6369848714692066,0.36235307746290024,0.27463179400630633
svm_saved_baseline,original_artifact,after_norm,clean,0.6462263797980903,0.6462263797980903,0.0
svm_saved_baseline,original_artifact,after_norm,no_accent,0.6462263797980903,0.5308501762293154,0.11537620356877487
svm_saved_baseline,original_artifact,after_norm,repeated_char,0.6462263797980903,0.6395974986614044,0.006628881136685916
svm_saved_baseline,original_artifact,after_norm,special_char,0.6462263797980903,0.6458492603722416,0.0003771194258487265
svm_saved_baseline,original_artifact,after_norm,masked_word,0.6462263797980903,0.5805319839658453,0.06569439583224501
svm_saved_baseline,original_artifact,after_norm,slang_teencode,0.6462263797980903,0.6431212627362363,0.0031051170618540125
svm_saved_baseline,original_artifact,after_norm,mixed_noise,0.6462263797980903,0.5150905983783695,0.13113578141972082
svm_saved_baseline,original_artifact,before_norm,clean,0.642683046845136,0.642683046845136,0.0
svm_saved_baseline,original_artifact,before_norm,no_accent,0.642683046845136,0.5287556165630255,0.1139274302821105
svm_saved_baseline,original_artifact,before_norm,repeated_char,0.642683046845136,0.3753332248736563,0.2673498219714797
svm_saved_baseline,original_artifact,before_norm,special_char,0.642683046845136,0.580484163425171,0.062198883419965045
svm_saved_baseline,original_artifact,before_norm,masked_word,0.642683046845136,0.5861431597982425,0.0565398870468935
svm_saved_baseline,original_artifact,before_norm,slang_teencode,0.642683046845136,0.6368305885366535,0.005852458308482467
svm_saved_baseline,original_artifact,before_norm,mixed_noise,0.642683046845136,0.371508286858401,0.271174759986735
xlmr_note08,augmented_mixed,after_norm,clean,0.48211899973608974,0.48211899973608974,0.0
xlmr_note08,augmented_mixed,after_norm,no_accent,0.48211899973608974,0.3183280126652401,0.16379098707084966
xlmr_note08,augmented_mixed,after_norm,repeated_char,0.48211899973608974,0.48120538177672917,0.0009136179593605687
xlmr_note08,augmented_mixed,after_norm,special_char,0.48211899973608974,0.48036845437760123,0.001750545358488509
xlmr_note08,augmented_mixed,after_norm,masked_word,0.48211899973608974,0.4348782041590383,0.047240795577051464
xlmr_note08,augmented_mixed,after_norm,slang_teencode,0.48211899973608974,0.481761727373571,0.0003572723625187568
xlmr_note08,augmented_mixed,after_norm,mixed_noise,0.48211899973608974,0.2992463798201089,0.18287261991598086
xlmr_note08,augmented_mixed,before_norm,clean,0.49659277235995747,0.49659277235995747,0.0
xlmr_note08,augmented_mixed,before_norm,no_accent,0.49659277235995747,0.35377755912193054,0.14281521323802693
xlmr_note08,augmented_mixed,before_norm,repeated_char,0.49659277235995747,0.40580776462147367,0.0907850077384838
xlmr_note08,augmented_mixed,before_norm,special_char,0.49659277235995747,0.4214742371610339,0.07511853519892359
xlmr_note08,augmented_mixed,before_norm,masked_word,0.49659277235995747,0.4317135774674789,0.06487919489247856
xlmr_note08,augmented_mixed,before_norm,slang_teencode,0.49659277235995747,0.4883009936776261,0.008291778682331385
xlmr_note08,augmented_mixed,before_norm,mixed_noise,0.49659277235995747,0.3084769826856782,0.18811578967427928
xlmr_note08,original,after_norm,clean,0.4649504757739659,0.4649504757739659,0.0
xlmr_note08,original,after_norm,no_accent,0.4649504757739659,0.2531916380454736,0.2117588377284923
xlmr_note08,original,after_norm,repeated_char,0.4649504757739659,0.46253401832246027,0.002416457451505649
xlmr_note08,original,after_norm,special_char,0.4649504757739659,0.46437126107792714,0.0005792146960387767
xlmr_note08,original,after_norm,masked_word,0.4649504757739659,0.4038301914910422,0.06112028428292371
xlmr_note08,original,after_norm,slang_teencode,0.4649504757739659,0.46349350151882684,0.0014569742551390763
xlmr_note08,original,after_norm,mixed_noise,0.4649504757739659,0.2350017748742972,0.22994870089966873
xlmr_note08,original,before_norm,clean,0.48106288273998227,0.48106288273998227,0.0
xlmr_note08,original,before_norm,no_accent,0.48106288273998227,0.2695052951864873,0.21155758755349496
xlmr_note08,original,before_norm,repeated_char,0.48106288273998227,0.3430526500055288,0.13801023273445345
xlmr_note08,original,before_norm,special_char,0.48106288273998227,0.3833943515676052,0.09766853117237706
xlmr_note08,original,before_norm,masked_word,0.48106288273998227,0.4020298696499431,0.07903301309003918
xlmr_note08,original,before_norm,slang_teencode,0.48106288273998227,0.4632742865366297,0.017788596203352547
xlmr_note08,original,before_norm,mixed_noise,0.48106288273998227,0.18272973918647684,0.29833314355350543
