model_name,train_setting,noise_type,after_norm,before_norm,macro_f1_recovery
svm_note08,augmented_mixed,clean,0.615526788816274,0.6164744607520661,-0.0009476719357921493
svm_note08,augmented_mixed,masked_word,0.5736063668785448,0.5794055928573081,-0.005799225978763256
svm_note08,augmented_mixed,mixed_noise,0.5806364553057641,0.5902786387804179,-0.009642183474653732
svm_note08,augmented_mixed,no_accent,0.61441026482138,0.611899412561233,0.002510852260146912
svm_note08,augmented_mixed,repeated_char,0.6129267628153001,0.6351744624506069,-0.022247699635306817
svm_note08,augmented_mixed,slang_teencode,0.6151815009102477,0.6127039140072376,0.0024775869030101427
svm_note08,augmented_mixed,special_char,0.615336888711785,0.580349059828158,0.03498782888362706
svm_note08,original,clean,0.6404903607921131,0.6369848714692066,0.0035054893229065076
svm_note08,original,masked_word,0.5689801550199417,0.5718763723411465,-0.0028962173212048192
svm_note08,original,mixed_noise,0.510552406073331,0.36235307746290024,0.14819932861043073
svm_note08,original,no_accent,0.5303122712180438,0.5305209475485081,-0.0002086763304642858
svm_note08,original,repeated_char,0.6364106129629175,0.36487730265022233,0.2715333103126951
svm_note08,original,slang_teencode,0.6402504820126995,0.6290569831168993,0.011193498895800236
svm_note08,original,special_char,0.6404903607921131,0.5694684816111063,0.07102187918100678
svm_saved_baseline,original_artifact,clean,0.6462263797980903,0.642683046845136,0.003543332952954281
svm_saved_baseline,original_artifact,masked_word,0.5805319839658453,0.5861431597982425,-0.0056111758323972305
svm_saved_baseline,original_artifact,mixed_noise,0.5150905983783695,0.371508286858401,0.14358231151996848
svm_saved_baseline,original_artifact,no_accent,0.5308501762293154,0.5287556165630255,0.002094559666289908
svm_saved_baseline,original_artifact,repeated_char,0.6395974986614044,0.3753332248736563,0.2642642737877481
svm_saved_baseline,original_artifact,slang_teencode,0.6431212627362363,0.6368305885366535,0.006290674199582735
svm_saved_baseline,original_artifact,special_char,0.6458492603722416,0.580484163425171,0.0653650969470706
xlmr_note08,augmented_mixed,clean,0.48211899973608974,0.49659277235995747,-0.014473772623867731
xlmr_note08,augmented_mixed,masked_word,0.4348782041590383,0.4317135774674789,0.003164626691559369
xlmr_note08,augmented_mixed,mixed_noise,0.2992463798201089,0.3084769826856782,-0.009230602865569315
xlmr_note08,augmented_mixed,no_accent,0.3183280126652401,0.35377755912193054,-0.03544954645669046
xlmr_note08,augmented_mixed,repeated_char,0.48120538177672917,0.40580776462147367,0.0753976171552555
xlmr_note08,augmented_mixed,slang_teencode,0.481761727373571,0.4883009936776261,-0.0065392663040551025
xlmr_note08,augmented_mixed,special_char,0.48036845437760123,0.4214742371610339,0.058894217216567346
xlmr_note08,original,clean,0.4649504757739659,0.48106288273998227,-0.016112406966016346
xlmr_note08,original,masked_word,0.4038301914910422,0.4020298696499431,0.0018003218410991284
xlmr_note08,original,mixed_noise,0.2350017748742972,0.18272973918647684,0.05227203568782035
xlmr_note08,original,no_accent,0.2531916380454736,0.2695052951864873,-0.016313657141013682
xlmr_note08,original,repeated_char,0.46253401832246027,0.3430526500055288,0.11948136831693146
xlmr_note08,original,slang_teencode,0.46349350151882684,0.4632742865366297,0.00021921498219712454
xlmr_note08,original,special_char,0.46437126107792714,0.3833943515676052,0.08097690951032194
