accuracy,macro_precision,macro_recall,macro_f1,precision_clean,recall_clean,f1_clean,support_clean,precision_offensive,recall_offensive,f1_offensive,support_offensive,precision_hate,recall_hate,f1_hate,support_hate,model_name,train_setting,noise_type,eval_text_variant,n_samples,n_train
0.8631736526946108,0.6521715421456385,0.6347336966583793,0.642683046845136,0.9272338148742643,0.9370944484498919,0.9321380546839982,5548,0.4661458333333333,0.40315315315315314,0.4323671497584541,444,0.5631349782293179,0.563953488372093,0.5635439360929557,688,svm_saved_baseline,original_artifact,clean,before_norm,6680,
0.8646706586826347,0.6559651104689873,0.6379890950876096,0.6462263797980903,0.927794615796042,0.9379956741167988,0.9328672582235368,5548,0.4701298701298701,0.40765765765765766,0.436670687575392,444,0.5699708454810496,0.5683139534883721,0.5691411935953421,688,svm_saved_baseline,original_artifact,clean,after_norm,6680,
0.7973053892215569,0.5203815569923832,0.5406520026255192,0.5287556165630255,0.9060876020786934,0.8799567411679885,0.8928310168251646,5548,0.27816091954022987,0.2725225225225225,0.2753128555176337,444,0.37689614935822635,0.4694767441860465,0.4181229773462783,688,svm_saved_baseline,original_artifact,no_accent,before_norm,6680,
0.7994011976047904,0.5239329282966235,0.5413850517407633,0.5308501762293154,0.9051405325443787,0.8822999279019467,0.893574297188755,5548,0.2853717026378897,0.268018018018018,0.2764227642276423,444,0.38128654970760234,0.4738372093023256,0.4225534672715489,688,svm_saved_baseline,original_artifact,no_accent,after_norm,6680,
0.823502994011976,0.47970195852126046,0.37084479203470333,0.3753332248736563,0.8428260192966075,0.9762076423936553,0.904626691164189,5548,0.1927710843373494,0.036036036036036036,0.06072106261859583,444,0.40350877192982454,0.1002906976744186,0.16065192083818394,688,svm_saved_baseline,original_artifact,repeated_char,before_norm,6680,
0.8627245508982035,0.6513148109397484,0.6296687033019841,0.6395974986614044,0.9251688588695343,0.9381759192501803,0.9316269912296402,5548,0.4605263157894737,0.39414414414414417,0.42475728155339804,444,0.5682492581602374,0.5566860465116279,0.5624082232011748,688,svm_saved_baseline,original_artifact,repeated_char,after_norm,6680,
0.8486526946107784,0.6124118142559721,0.5582310987569116,0.580484163425171,0.9029528578829218,0.9425018024513339,0.9223035541053003,5548,0.37662337662337664,0.26126126126126126,0.30851063829787234,444,0.5576592082616179,0.47093023255813954,0.5106382978723404,688,svm_saved_baseline,original_artifact,special_char,before_norm,6680,
0.86437125748503,0.6552739903489725,0.6378689316653553,0.6458492603722416,0.92776886035313,0.9376351838500361,0.932675930076199,5548,0.4689119170984456,0.40765765765765766,0.43614457831325304,444,0.5691411935953421,0.5683139534883721,0.5687272727272727,688,svm_saved_baseline,original_artifact,special_char,after_norm,6680,
0.850748502994012,0.6182844927165121,0.5635325765228013,0.5861431597982425,0.9044574982722875,0.9435832732516222,0.923606210303458,5548,0.3858520900321543,0.2702702702702703,0.31788079470198677,444,0.5645438898450946,0.47674418604651164,0.5169424743892829,688,svm_saved_baseline,original_artifact,masked_word,before_norm,6680,
0.8462574850299401,0.6066333132219702,0.561355775721732,0.5805319839658453,0.9037860368183397,0.9379956741167988,0.9205731470015921,5548,0.36,0.2635135135135135,0.30429128738621586,444,0.5561139028475712,0.48255813953488375,0.5167315175097277,688,svm_saved_baseline,original_artifact,masked_word,after_norm,6680,
0.8601796407185629,0.6430917008000914,0.6315681501575015,0.6368305885366535,0.9278553526673827,0.9342105263157895,0.9310220944853601,5548,0.4506329113924051,0.4009009009009009,0.42431466030989273,444,0.5507868383404864,0.559593023255814,0.555155010814708,688,svm_saved_baseline,original_artifact,slang_teencode,before_norm,6680,
0.863622754491018,0.6513902249532801,0.6360290252442883,0.6431212627362363,0.9284056418496697,0.9372746935832732,0.9328190869136246,5548,0.46035805626598464,0.40540540540540543,0.4311377245508982,444,0.565406976744186,0.565406976744186,0.565406976744186,688,svm_saved_baseline,original_artifact,slang_teencode,after_norm,6680,
0.7679640718562875,0.40514234696289964,0.37108826583663523,0.371508286858401,0.8471800067544748,0.9042898341744773,0.8748038360941587,5548,0.10313075506445672,0.12612612612612611,0.11347517730496454,444,0.2651162790697674,0.08284883720930232,0.12624584717607973,688,svm_saved_baseline,original_artifact,mixed_noise,before_norm,6680,
0.795059880239521,0.5099641362515115,0.523865389047269,0.5150905983783695,0.8987318507627274,0.8813987022350397,0.88998088998089,5548,0.24936386768447838,0.22072072072072071,0.23416965352449223,444,0.3817966903073286,0.4694767441860465,0.4211212516297262,688,svm_saved_baseline,original_artifact,mixed_noise,after_norm,6680,
