model_name,train_setting,noise_type,eval_text_variant,n_samples,n_train,accuracy,macro_precision,macro_recall,macro_f1,f1_clean,f1_offensive,f1_hate,support_clean,support_offensive,support_hate
svm_saved_baseline,original_artifact,clean,after_norm,6680,,0.8646706586826347,0.6559651104689873,0.6379890950876096,0.6462263797980903,0.9328672582235368,0.436670687575392,0.5691411935953421,5548,444,688
svm_saved_baseline,original_artifact,no_accent,after_norm,6680,,0.7994011976047904,0.5239329282966235,0.5413850517407633,0.5308501762293154,0.893574297188755,0.2764227642276423,0.4225534672715489,5548,444,688
svm_saved_baseline,original_artifact,repeated_char,after_norm,6680,,0.8627245508982035,0.6513148109397484,0.6296687033019841,0.6395974986614044,0.9316269912296402,0.42475728155339804,0.5624082232011748,5548,444,688
svm_saved_baseline,original_artifact,special_char,after_norm,6680,,0.86437125748503,0.6552739903489725,0.6378689316653553,0.6458492603722416,0.932675930076199,0.43614457831325304,0.5687272727272727,5548,444,688
svm_saved_baseline,original_artifact,masked_word,after_norm,6680,,0.8462574850299401,0.6066333132219702,0.561355775721732,0.5805319839658453,0.9205731470015921,0.30429128738621586,0.5167315175097277,5548,444,688
svm_saved_baseline,original_artifact,slang_teencode,after_norm,6680,,0.863622754491018,0.6513902249532801,0.6360290252442883,0.6431212627362363,0.9328190869136246,0.4311377245508982,0.565406976744186,5548,444,688
svm_saved_baseline,original_artifact,mixed_noise,after_norm,6680,,0.795059880239521,0.5099641362515115,0.523865389047269,0.5150905983783695,0.88998088998089,0.23416965352449223,0.4211212516297262,5548,444,688
svm_note08,original,clean,after_norm,6680,24046.0,0.8663173652694611,0.6607154471526182,0.6260597914105988,0.6404903607921131,0.9340590702239672,0.42159383033419023,0.5658181818181818,5548,444,688
svm_note08,original,no_accent,after_norm,6680,24046.0,0.8053892215568862,0.5314795334211397,0.5357665463370851,0.5303122712180438,0.8977406768895745,0.27411167512690354,0.4190844616376531,5548,444,688
svm_note08,original,repeated_char,after_norm,6680,24046.0,0.8648203592814371,0.6577813577145457,0.6212648951159371,0.6364106129629175,0.9330361123495319,0.4160206718346253,0.5601750547045952,5548,444,688
svm_note08,original,special_char,after_norm,6680,24046.0,0.8663173652694611,0.6607154471526182,0.6260597914105988,0.6404903607921131,0.9340590702239672,0.42159383033419023,0.5658181818181818,5548,444,688
svm_note08,original,masked_word,after_norm,6680,24046.0,0.8465568862275449,0.6027008398706605,0.5472961738334972,0.5689801550199417,0.9212612295226352,0.2809917355371901,0.5046875,5548,444,688
svm_note08,original,slang_teencode,after_norm,6680,24046.0,0.8661676646706586,0.6596766299224112,0.6265822838985596,0.6402504820126995,0.9340237478796536,0.4190231362467866,0.5677045619116582,5548,444,688
svm_note08,original,mixed_noise,after_norm,6680,24046.0,0.8017964071856287,0.5146467140663943,0.5136124790305638,0.510552406073331,0.895026626951891,0.22691292875989447,0.40971766250820746,5548,444,688
svm_note08,augmented_mixed,clean,after_norm,6680,168322.0,0.8538922155688623,0.6289977503427341,0.604512882334557,0.615526788816274,0.9264719020816582,0.3847102342786683,0.5353982300884956,5548,444,688
svm_note08,augmented_mixed,no_accent,after_norm,6680,168322.0,0.8483532934131737,0.6185893949428004,0.6110523668568889,0.61441026482138,0.9231184246021041,0.3914590747330961,0.5286532951289399,5548,444,688
